h1,c1,h2,c2,h3,c3,h4,c4,h5,c5,label
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
P,P,,,,,,,,,0
